"","c.Inf..33.8716306708252..33.7665809148426..33.6841572569265.."
"1",Inf
"2",33.8716306708252
"3",33.7665809148426
"4",33.6841572569265
"5",33.3809341892575
"6",33.3292301183606
"7",32.8584179917494
"8",32.7622180560539
"9",32.6309343663041
"10",32.5636219036972
"11",32.155093916536
"12",32.1515977197837
"13",32.0438929379039
"14",32.0221858965688
"15",31.8327084578825
"16",31.7807631138266
"17",31.7163834223879
"18",31.600003769897
"19",31.5967159673197
"20",31.558661517774
"21",31.5243019248696
"22",31.4901204364109
"23",31.4713438698099
"24",31.4162842461067
"25",31.3805254211911
"26",31.3787623058052
"27",31.2788062945638
"28",31.2466418029388
"29",31.0651293613
"30",31.0642276464201
"31",30.9936559533923
"32",30.9708028644492
"33",30.8726345314734
"34",30.8705990119251
"35",30.8701517196888
"36",30.8216212496903
"37",30.7981635666194
"38",30.5928221209363
"39",30.4569567297722
"40",30.4496694955905
"41",30.4340441648501
"42",30.4331840014604
"43",30.3912224624668
"44",30.3696161898827
"45",30.2709990635951
"46",30.2356167049988
"47",30.2206336686664
"48",30.1160269751779
"49",30.0683989898015
"50",29.9912305289623
"51",29.9702609070656
"52",29.8806734357142
"53",29.8452861576279
"54",29.7227370305708
"55",29.6821221336546
"56",29.665345495884
"57",29.6499824503073
"58",29.5455690250371
"59",29.436604810362
"60",29.4123646538106
"61",29.345172801481
"62",29.279722015088
"63",29.1730504507079
"64",29.1630739205112
"65",29.1397486865409
"66",29.1317603250436
"67",29.1217338771495
"68",29.0506990620286
"69",29.0439805248665
"70",28.8964352104272
"71",28.8922707978995
"72",28.8510809660613
"73",28.8431696952028
"74",28.8215236410256
"75",28.7114388174092
"76",28.6927258229555
"77",28.6891565252603
"78",28.6651429404727
"79",28.6223683420253
"80",28.6140826895749
"81",28.5790331821515
"82",28.5041080441299
"83",28.4501828362349
"84",28.4305925227134
"85",28.3999987673494
"86",28.3953192901303
"87",28.3832160450568
"88",28.3735308949182
"89",28.3610408370041
"90",28.3334008113337
"91",28.3039791899237
"92",28.2938459705918
"93",28.2478548703052
"94",28.2029882628365
"95",28.162752613315
"96",28.1492216829455
"97",28.1463323591845
"98",28.1462253477223
"99",28.1149567681747
"100",28.1143420594925
"101",28.1129275103403
"102",28.1106700067472
"103",28.0991616968833
"104",28.0991179911608
"105",28.0914705985738
"106",28.090828029145
"107",28.0683965719984
"108",28.0589274041067
"109",28.0441323252937
"110",28.0297031173577
"111",28.023477732815
"112",28.0163853729291
"113",28.0023230408485
"114",27.9756682205694
"115",27.964362829082
"116",27.9489433544555
"117",27.9466525692826
"118",27.9456093489075
"119",27.9400659684146
"120",27.9169080506087
"121",27.902552996825
"122",27.8512546000279
"123",27.8427237180103
"124",27.8298934847102
"125",27.8184795333867
"126",27.7980168802308
"127",27.7849605293753
"128",27.7501118795534
"129",27.7263958559995
"130",27.7111425138754
"131",27.7007068471189
"132",27.6791783375483
"133",27.6739934167511
"134",27.6722191854499
"135",27.6673307003887
"136",27.6472449290827
"137",27.6435162279321
"138",27.5966894914164
"139",27.5899498783686
"140",27.5734564767749
"141",27.5407487133439
"142",27.5374539185264
"143",27.4800848816513
"144",27.4701779895192
"145",27.4594048278446
"146",27.4590508555676
"147",27.4581421887844
"148",27.4515703600737
"149",27.4443860340866
"150",27.433963908007
"151",27.4339212116913
"152",27.4333671481134
"153",27.4285278946288
"154",27.408523834338
"155",27.399193063801
"156",27.3822698934146
"157",27.3585732740164
"158",27.358293095306
"159",27.348827315871
"160",27.3443442016424
"161",27.3382101668749
"162",27.3292237318868
"163",27.3181794934803
"164",27.3144478514966
"165",27.3018961000435
"166",27.3018565595001
"167",27.2816022693531
"168",27.2745457869878
"169",27.2703278612018
"170",27.2580665106116
"171",27.2506682226852
"172",27.2148168509994
"173",27.2140105080276
"174",27.211965135734
"175",27.2108496071507
"176",27.1984383982642
"177",27.1565834037607
"178",27.1313725167198
"179",27.126578921207
"180",27.12641194626
"181",27.1242126513131
"182",27.0904303775766
"183",27.0677728776848
"184",27.0520032554349
"185",27.043667613327
"186",27.0432916443475
"187",27.0421293296549
"188",27.0412741942164
"189",27.0274928489283
"190",27.0234327269138
"191",27.0230819087647
"192",27.021147835519
"193",26.983841740646
"194",26.9619939018974
"195",26.9595649571915
"196",26.9573959664669
"197",26.9412463373037
"198",26.9271956349334
"199",26.9249170334656
"200",26.9235761493815
"201",26.9227373729008
"202",26.9140848943755
"203",26.8867663467116
"204",26.8741357383053
"205",26.8659764381183
"206",26.8629207196051
"207",26.8604519842529
"208",26.8522186565129
"209",26.8436124949905
"210",26.8414489268919
"211",26.8408563312871
"212",26.8073276928864
"213",26.80386923936
"214",26.797532991386
"215",26.7847211644704
"216",26.7323775064242
"217",26.7051462667518
"218",26.6831908378535
"219",26.6619225969229
"220",26.6562499444694
"221",26.6447805631951
"222",26.6228475140923
"223",26.6177679865336
"224",26.6024358278144
"225",26.6008569976875
"226",26.5914339994264
"227",26.5755933209349
"228",26.5600254121987
"229",26.55943724344
"230",26.5346491350465
"231",26.5330877921063
"232",26.5308028500534
"233",26.5256228393445
"234",26.5160947991659
"235",26.4913532500515
"236",26.4912361097891
"237",26.4836279926206
"238",26.4833107560045
"239",26.4806760763449
"240",26.4697025139165
"241",26.4440247827495
"242",26.4419222859863
"243",26.4412918073601
"244",26.4391023011953
"245",26.4335543780978
"246",26.4277539199845
"247",26.4003839857091
"248",26.3834421974394
"249",26.3642540196285
"250",26.3616905937472
"251",26.3599313037693
"252",26.3584852584147
"253",26.331418727661
"254",26.3078882602627
"255",26.3068683154457
"256",26.2933286530754
"257",26.2924090686761
"258",26.2852223373003
"259",26.2837910936131
"260",26.2461934741176
"261",26.2392737662174
"262",26.2321546735045
"263",26.2119785417123
"264",26.205018057723
"265",26.2031192195466
"266",26.1934552581583
"267",26.1904899131933
"268",26.1640710637118
"269",26.1615619803081
"270",26.1585460214585
"271",26.1432067770766
"272",26.1405819763596
"273",26.1349923087731
"274",26.1310718242315
"275",26.1303191210357
"276",26.1136418344109
"277",26.1039584661859
"278",26.0973858676997
"279",26.0869872421268
"280",26.0841123483215
"281",26.0724006459959
"282",26.0284615341892
"283",26.0261729723096
"284",26.0133325049967
"285",26.0114699928425
"286",25.9984897197339
"287",25.9960528270712
"288",25.9884316290259
"289",25.9819203013744
"290",25.9714727946726
"291",25.948901115898
