"","TPR","FPR","thd","totP","totF","dist_ax","d_ax","alg","algprop","delta","col","dif"
"1",0.704119850187266,0.207903593529476,2.35083420235916,4539,9211,0.350877880017728,0.456011721858371,"Z2","2000_0.02",0.102031014672204,1,0.49621625665779
"2",0.801277814496585,0.270980349582021,0.922239965369584,4539,9211,0.374976933487123,0.536129082039303,"Z2","3000_0.02",0.0920603756530797,2,0.530297464914564
"3",0.797752808988764,0.277819997828683,0.724891919547068,4539,9211,0.367648016532678,0.537786403408724,"Z2","3500_0.02",0.0904442704819339,3,0.519932811160081
"4",0.811412205331571,0.298121810878298,0.532166186663009,4539,9211,0.362951118635827,0.554767008104934,"Z2","4000_0.02",0.088501449364147,4,0.513290394453273
"5",0.811191892487332,0.297687547497557,0.439477603454869,4539,9211,0.363102404511026,0.554439719992445,"Z2","4500_0.02",0.0876997392265054,5,0.513504344989775
"6",0.738436123348018,0.222373065435786,2.55171515962267,1816,3683,0.364911687769605,0.480404594391902,"Z2","2000_0.05",0.105298430840664,6,0.516063057912232
"7",0.827092511013216,0.277219657887592,1.07903614883311,1816,3683,0.388818823235523,0.552156084450404,"Z2","3000_0.05",0.0972976314124064,7,0.549872853125624
"8",0.828193832599119,0.287808851479772,0.840208933481548,1816,3683,0.382109884600855,0.558001342039445,"Z2","3500_0.05",0.0925902996497146,8,0.540384981119347
"9",0.793502202643172,0.262286179744773,0.813744991679092,1816,3683,0.375626452066406,0.527894191193973,"Z2","4000_0.05",0.0897852725901191,9,0.531216022898399
"10",0.784691629955947,0.259027966331795,0.692539075024752,1816,3683,0.371700341172002,0.521859798143871,"Z2","4500_0.05",0.0859558561461976,10,0.525663663624152
"11",0.783039647577093,0.256646771568096,2.35517155246942,908,1843,0.372215972194251,0.519843209572594,"Z2","2000_0.1",0.105259244257367,11,0.526392876008997
"12",0.852422907488987,0.296256104177971,1.06575365268448,908,1843,0.393269318092064,0.574339505833479,"Z2","3000_0.1",0.0956050757987251,12,0.556166803311016
"13",0.832599118942731,0.291372761801411,0.917186880900103,908,1843,0.38270482729152,0.561985940372071,"Z2","3500_0.1",0.0905995956754579,13,0.541226357141321
"14",0.82488986784141,0.285946825827455,0.79320719771324,908,1843,0.381090279681374,0.555418346834432,"Z2","4000_0.1",0.0871173281843522,14,0.538943042013954
"15",0.818281938325991,0.28540423223006,0.675290602876235,908,1843,0.376801439523565,0.551843085278025,"Z2","4500_0.1",0.0834195658030835,15,0.532877706095932
