TPR;TNR;FPR;FNR;d_ax;dist_ax;author;algprop;thd;alg
0.768867925;0.909506399;0.090493601;0.231132075;0.429680763;0.479683084;PHF;4500_0.02;0.676518927;Z2
0.734978541;0.925423729;0.074576271;0.265021459;0.404777406;0.466974923;PHF;2000_0.05;3.234797711;Z2
0.737124464;0.925988701;0.074011299;0.262875536;0.405567881;0.468891815;PHF;3000_0.05;2.22468607;Z2
0.741416309;0.922033898;0.077966102;0.258583691;0.409691205;0.469130141;PHF;3500_0.05;1.790877646;Z2
0.751072961;0.916384181;0.083615819;0.248927039;0.41734439;0.471963471;PHF;4000_0.05;1.388399089;Z2
0.793991416;0.888983051;0.111016949;0.206008584;0.452504183;0.482935877;PHF;4500_0.05;0.730582921;Z2
0.729032258;0.922906267;0.077093733;0.270967742;0.403062995;0.460990152;PHF;2000_0.1;3.528506826;Z2
0.739784946;0.930116473;0.069883527;0.260215054;0.404834237;0.473691836;PHF;3000_0.1;2.577276728;Z2
0.746236559;0.92401553;0.07598447;0.253763441;0.411110515;0.473939797;PHF;3500_0.1;1.998289454;Z2
0.741935484;0.925679423;0.074320577;0.258064516;0.40812803;0.472075028;PHF;4000_0.1;1.811045743;Z2
0.815053763;0.863560732;0.136439268;0.184946237;0.475746516;0.479852912;PHF;4500_0.1;0.726743716;Z2
0.42281746;0.989410986;0.010589014;0.57718254;0.216703237;0.29148953;PhC;2000_0.02;2.894999614;Z2
0.435912698;0.980641959;0.019358041;0.564087302;0.22763537;0.294548623;PhC;3000_0.02;1.76704139;Z2
0.466468254;0.978821972;0.021178028;0.533531746;0.243823141;0.314867739;PhC;3500_0.02;1.047429365;Z2
0.464484127;0.976836532;0.023163468;0.535515873;0.243823797;0.312060831;PhC;4000_0.02;0.913411063;Z2
0.478373016;0.971211118;0.028788882;0.521626984;0.253580949;0.31790399;PhC;4500_0.02;0.676518927;Z2
0.453055142;0.984953233;0.015046767;0.546944858;0.234050954;0.309718692;PhC;2000_0.05;3.234797711;Z2
0.450571287;0.982919886;0.017080114;0.549428713;0.2338257;0.306524548;PhC;3000_0.05;2.22468607;Z2
0.458022851;0.981699878;0.018300122;0.541977149;0.238161487;0.310930924;PhC;3500_0.05;1.790877646;Z2
0.467958271;0.978039854;0.021960146;0.532041729;0.244959209;0.315368298;PhC;4000_0.05;1.388399089;Z2
0.516145057;0.961773078;0.038226922;0.483854943;0.277185989;0.337939155;PhC;4500_0.05;0.730582921;Z2
0.457879088;0.987291501;0.012708499;0.542120912;0.235293794;0.314783143;PhC;2000_0.1;3.528506826;Z2
0.453914767;0.990468626;0.009531374;0.546085233;0.231723071;0.314226511;PhC;3000_0.1;2.577276728;Z2
0.466798811;0.989674345;0.010325655;0.533201189;0.238562233;0.322775264;PhC;3500_0.1;1.998289454;Z2
0.458870168;0.987291501;0.012708499;0.541129832;0.235789334;0.315483942;PhC;4000_0.1;1.811045743;Z2
0.554013875;0.947577442;0.052422558;0.445986125;0.303218216;0.354678622;PhC;4500_0.1;0.726743716;Z2
