"","TPR","FPR","thd","totP","totF","dist_ax","d_ax","alg","algprop","delta","col","dif"
"1",0.665273311897106,0.137290576908498,2.65692724637577,15550,26382,0.373340172259864,0.401281944402802,"Z2","2000_0.02",0.102031014672204,1,0.527982734988608
"2",0.709646302250804,0.176635584868471,1.2904814679819,15550,26382,0.376895492706154,0.443140943559637,"Z2","3000_0.02",0.0920603756530797,2,0.533010717382333
"3",0.70475884244373,0.168107042680616,1.0866690014748,15550,26382,0.379470126748463,0.436432942562173,"Z2","3500_0.02",0.0904442704819339,3,0.536651799763114
"4",0.698070739549839,0.164089151694337,0.974673433483744,15550,26382,0.377582001801386,0.431079945622088,"Z2","4000_0.02",0.088501449364147,4,0.533981587855502
"5",0.729453376205788,0.198809794556895,0.61487708190788,15550,26382,0.37522167497705,0.464131585381341,"Z2","4500_0.02",0.0876997392265054,5,0.530643581648893
"6",0.679054054054054,0.139391642187056,3.07820731382599,6216,10553,0.381598950982642,0.409222848120555,"Z2","2000_0.05",0.105298430840664,6,0.539662411866998
"7",0.680984555984556,0.14128683786601,1.95471483154477,6216,10553,0.38162391627253,0.411135696925283,"Z2","3000_0.05",0.0972976314124064,7,0.539697718118546
"8",0.703024453024453,0.162986828390031,1.39575073137984,6216,10553,0.381864266474875,0.433005640707242,"Z2","3500_0.05",0.0925902996497146,8,0.540037624634422
"9",0.753378378378378,0.217947503079693,0.813744991679092,6216,10553,0.378606802780349,0.485662940729036,"Z2","4000_0.05",0.0897852725901191,9,0.535430875298685
"10",0.731499356499356,0.196152752771724,0.778494931170949,6216,10553,0.378547213780997,0.46382605463554,"Z2","4500_0.05",0.0859558561461976,10,0.535346603727633
"11",0.682023195876289,0.14337053149234,3.19724550652835,3104,5287,0.380884951690092,0.412696863684314,"Z2","2000_0.1",0.105259244257367,11,0.538652664383949
"12",0.730670103092783,0.188575751844146,1.63938410747683,3104,5287,0.383318591810834,0.459622927468465,"Z2","3000_0.1",0.0956050757987251,12,0.542094351248637
"13",0.726481958762887,0.188954038206923,1.37018485927739,3104,5287,0.380089637702226,0.457717998484905,"Z2","3500_0.1",0.0905995956754579,13,0.537527920555964
"14",0.734536082474227,0.204085492717988,1.0545591822663,3104,5287,0.37508520910104,0.469310787596107,"Z2","4000_0.1",0.0871173281843522,14,0.530450589756239
"15",0.741301546391753,0.211840363154908,0.842129734482402,3104,5287,0.374385593041826,0.47657095477333,"Z2","4500_0.1",0.0834195658030835,15,0.529461183236844
