"","TPR","FPR","thd","totP","totF","dist_ax","d_ax","alg","algprop","delta","col","dif"
"1",0.782890473104342,0.132275132275132,2.65692724637577,6172,11718,0.460054519444331,0.457582802689737,"Z2","2000_0.02",0.102031014672204,1,0.65061534082921
"2",0.794069993519119,0.143881208397337,1.56666259494114,6172,11718,0.459752899011054,0.468975600958228,"Z2","3000_0.02",0.0920603756530797,2,0.650188785121781
"3",0.826150356448477,0.167861409796894,1.0866690014748,6172,11718,0.465480578157484,0.497005883122685,"Z2","3500_0.02",0.0904442704819339,3,0.658288946651583
"4",0.818211276733636,0.161802355350742,0.974673433483744,6172,11718,0.464151199541191,0.490006816042189,"Z2","4000_0.02",0.088501449364147,4,0.656408921382893
"5",0.818535320803629,0.16410650281618,0.79027656036089,6172,11718,0.462751055002822,0.491320911809905,"Z2","4500_0.02",0.0876997392265054,5,0.654428817987449
"6",0.796678817334953,0.134286934244236,3.07820731382599,2469,4684,0.468381792336373,0.465482875789595,"Z2","2000_0.05",0.105298430840664,6,0.662391883090718
"7",0.791818550020251,0.134500426985483,1.95471483154477,2469,4684,0.464794102194698,0.463159488502867,"Z2","3000_0.05",0.0972976314124064,7,0.657318123034769
"8",0.820980153908465,0.161827497865073,1.39575073137984,2469,4684,0.466091312925407,0.491403825886769,"Z2","3500_0.05",0.0925902996497146,8,0.659152656043392
"9",0.845281490481977,0.193424423569599,0.99331553685933,2469,4684,0.460932552378115,0.519352957025788,"Z2","4000_0.05",0.0897852725901191,9,0.651857066912378
"10",0.836776022681248,0.182536293766012,0.864450787317147,2469,4684,0.462617348837612,0.50965615822363,"Z2","4500_0.05",0.0859558561461976,10,0.654239728915236
"11",0.778681855166802,0.119523606975755,3.51302323930045,1229,2351,0.466095267170935,0.449102731071279,"Z2","2000_0.1",0.105259244257367,11,0.659158248191047
"12",0.732302685109845,0.08762228838792,2.88225009286025,1229,2351,0.455857880220107,0.409962486748883,"Z2","3000_0.1",0.0956050757987251,12,0.644680396721925
"13",0.770545158665582,0.125478519778818,2.0043820290056,1229,2351,0.456130994674045,0.4480118392222,"Z2","3500_0.1",0.0905995956754579,13,0.645066638886764
"14",0.763222131814483,0.128030625265844,1.75149780774111,1229,2351,0.449148221632642,0.445626378540164,"Z2","4000_0.1",0.0871173281843522,14,0.635191506548639
"15",0.851912123677787,0.218205019140791,0.842129734482402,1229,2351,0.448098590904202,0.535058571409289,"Z2","4500_0.1",0.0834195658030835,15,0.633707104536996
